"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DEFA4",-1.02081713226057,5.87404490991949,-1.38408989037858,0.168608083217301,0.602724013453561,-4.46618767499029
"NRIP2",-33.6687539630315,288.394274337195,-1.3835019387447,0.168787775683099,0.602864206456504,-4.4666108580596
"CYLD",-383.523722677508,8826.83214250584,-1.38329489793876,0.168851087018158,0.602864206456504,-4.46675983635454
"CYFIP2",-716.432366094392,9866.96148439917,-1.38327664380093,0.168856669843902,0.602864206456504,-4.46677297027751
"ZNF90",-10.4918074415266,163.698957055387,-1.38327103424295,0.168858385493169,0.602864206456504,-4.46677700634285
"FGG",0.324938685170783,0.580790392576463,1.38325271892422,0.168863987214329,0.602864206456504,-4.46679018406747
"RAP1GDS1",-126.109910629896,2944.52437713391,-1.38319297359066,0.168882261242381,0.602864206456504,-4.46683316919176
"KRBOX5",-47.5279665011653,1326.71832106877,-1.38302384289641,0.168934000597936,0.602864206456504,-4.4669548444214
"RMI1",-43.66606825387,1464.41669974575,-1.38301303685697,0.168937306719455,0.602864206456504,-4.46696261796791
"DIRAS2",-15.8591843034037,288.725974593807,-1.38298122854885,0.168947038796674,0.602864206456504,-4.46698549958999
"CCN3",-14.2607726266671,193.648316206807,-1.38289904562344,0.168972185472203,0.602864206456504,-4.46704461635665
"GLYATL1B",-0.3785368188072,1.61206892411195,-1.38283973976265,0.168990333891361,0.602864206456504,-4.46708727483765
"HES2",36.4492284500791,1217.95585632354,1.38245106431553,0.169109310590296,0.603177341758596,-4.46736680419208
"AHNAK",-6913.54641329177,283129.658589088,-1.38219022736991,0.169189190507116,0.603350937259468,-4.46755435182818
"HDAC7",-689.600010528202,9291.07600920738,-1.38183692470359,0.16929743318197,0.603525360556472,-4.46780833028612
"APC",-278.212282586586,8785.73765406866,-1.38179740713902,0.16930954359253,0.603525360556472,-4.46783673438053
"GALNT9",-1.58622958664829,31.3192527908781,-1.38172492303584,0.169331758517396,0.603525360556472,-4.4678888318547
"ASPHD1",10.1075322127178,161.491746691706,1.38145755106816,0.169413721781059,0.603556334225866,-4.46808098104122
"SBF2",-104.980737333251,4286.47054720249,-1.38139504630209,0.169432887045192,0.603556334225866,-4.46812589549164
