"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MRPL44",188.486537058702,0.353422685958763,0.0998036738433956,3.54117912045329,0.000398343053198739,0.0518818601543147
"PBDC1",372.333057911352,0.323435173440433,0.0914540865594675,3.53658524849101,0.00040533566220331,0.0518818601543147
"PLAC8",1227.7649475505,0.560896168608852,0.159113715581043,3.52512771485853,0.0004232786676931,0.0518818601543147
"RAB4B",150.616569166276,-1.39461827557675,0.396803762918512,-3.51462966308399,0.000440367632613975,0.0518818601543147
"RHOV",7.39096091128598,0.919389455565381,0.26127084294487,3.51891334372653,0.00043331821984988,0.0518818601543147
"SLC16A9",56.2955907486474,1.02343985380134,0.28981222525342,3.53138951576806,0.000413382515332359,0.0518818601543147
"SPOCK2",593.513768561271,-0.938166231719242,0.266721695220888,-3.51739752906973,0.000435800578557473,0.0518818601543147
"SPTY2D1",295.785913527523,0.24775990271476,0.0702563073556821,3.52651472928177,0.00042106774322854,0.0518818601543147
"TNFRSF6B",59.0422049262031,-2.44598846900059,0.69444968725907,-3.52219680399697,0.000427986292069987,0.0518818601543147
"TNFSF8",64.5557229755743,-0.952109862870355,0.269840357497992,-3.5284190685874,0.000418049758135091,0.0518818601543147
"CLDN16",3.97101327847353,-2.38469597436511,0.680317303285692,-3.50527020678126,0.000456144080238722,0.0528026076579276
"FOXO1",807.466798065646,-0.464333557686599,0.132496431634302,-3.5044985888238,0.000457467992463845,0.0528026076579276
"PITPNM3",41.5005171209006,0.989963542095259,0.283202960784548,3.49559743073588,0.00047300173229482,0.0542190468446359
"XAF1",629.960269386607,-0.645531470239471,0.184982689995649,-3.48968582008757,0.000483588721297841,0.0550529324430918
"SMAGP",167.156062952902,0.55185187868493,0.158255208883295,3.48710088330738,0.000488287130571737,0.0552096625662098
"ACIN1",993.281386114044,-0.396756100474236,0.114166009985014,-3.475255906082,0.000510366227733835,0.0568901127237383
"DNAJB13",13.8164164338864,2.03460923176361,0.58572550538614,3.47365653886335,0.000513417779228731,0.0568901127237383
"SNIP1",124.441980505153,0.215460250747654,0.0619725793170423,3.47670297286469,0.000507619838726553,0.0568901127237383
"SREK1",780.316291639313,-0.320417638970361,0.0923462333469585,-3.46974237451033,0.00052095779506499,0.0573433080250013
"C3orf62",75.4785552700703,-0.378116126269908,0.10918826781956,-3.46297394235403,0.000534240130437475,0.0581942416379653
"RBM38",383.054133752266,-0.892238256237168,0.257705180040565,-3.46224416636376,0.000535690931388526,0.0581942416379653
"CD24",1690.51377881014,1.07604585179908,0.311215181959674,3.45756220831961,0.000545086379436764,0.0588059499667218
"PPIL3",88.710638560053,-0.515200864873953,0.149077348667652,-3.45592988793035,0.000548397945059977,0.0588059499667218
"WNT2",1.92539788486124,2.22422645674176,0.645303565086141,3.4467909013409,0.000567287462129922,0.0604415699234707
"BTLA",52.6784260921811,-0.958968627132421,0.278755407606763,-3.44017945827701,0.000581328587566028,0.0611293400733953
"CYP4A11",4.58407307215585,1.66496925243097,0.484502371698238,3.43645222332979,0.000589386293865402,0.0611293400733953
"ITPR1",221.596923053159,-0.644940841912653,0.187745152733244,-3.43519303973196,0.000592131866422998,0.0611293400733953
"SLC34A2",64.1053532956054,-1.38537250249407,0.402586505302517,-3.44117968249595,0.000579183778319851,0.0611293400733953
"TIMELESS",180.755816562273,-0.532179499544368,0.15489334967784,-3.43578017165514,0.000590850183203233,0.0611293400733953
"WIPI1",177.188410595573,0.49725046902605,0.144837738078628,3.43315544430906,0.000596599951085287,0.061210418438201
"ARGLU1",940.842732623764,-0.387676600495431,0.113078124766854,-3.42839608717203,0.000607158918785592,0.0619115852094192
"PRKCE",170.88850179081,-0.43747447283376,0.127760174340646,-3.4241850020283,0.00061664626356333,0.0624955947968665
"RASGEF1A",19.6437221824917,-1.2641128577787,0.369363157333263,-3.42241188023562,0.000620682129720531,0.0625082435942759
"SLC9A7",105.624243904874,-0.79863986534202,0.233463449033076,-3.42083469018259,0.000624292668109609,0.0625082435942759
"PRELP",133.946788499489,-1.07683672807919,0.315427202224595,-3.41389937356272,0.000640402235118694,0.0630062830818187
"TMCC2",21.654950902561,-0.906752682738307,0.265379434360234,-3.41681594477835,0.000633580987289286,0.0630062830818187
"ZNF354B",37.5941821129633,-0.557293274135867,0.163247260311053,-3.41379863327564,0.000640639061478091,0.0630062830818187
"PAFAH2",542.647540535364,0.413906504324151,0.121390202943641,3.40971918892268,0.000650297989407678,0.0632082039879825
"TRMT13",142.562974007551,-0.391788391148466,0.114885500053811,-3.41025099742748,0.0006490311906235,0.0632082039879825
"DTX1",199.402868806132,-1.02652933644056,0.302279780044612,-3.39595766640116,0.00068388935964574,0.0660867735271619
"IGSF10",26.247454078109,-0.997869932051402,0.294524690972356,-3.38806885343634,0.000703865925232065,0.0665833421627074
"MAL2",858.007027001441,0.488621928769419,0.144247833437281,3.3873779392456,0.000705641083502604,0.0665833421627074
"NFKBIA",2280.66825273725,-0.501561882802895,0.147976348459826,-3.38947330450626,0.000700270268678988,0.0665833421627074
"OVOL1",305.495029318032,0.476829263116664,0.140821575867198,3.38605260010966,0.000709057912448061,0.0665833421627074
"S100A10",1952.0378994376,0.47296201449014,0.139509250613836,3.3901838939649,0.000698457537310816,0.0665833421627074
"IL1RN",83.4039525838487,1.10184321455004,0.325656317065345,3.38345414109978,0.000715801605861369,0.0667748348808691
"LRCH1",227.371430653856,-0.389047024927434,0.115085582433162,-3.38050185524656,0.000723535866265909,0.0667748348808691
"SLA",402.184702637727,-0.719573498935252,0.212998395846936,-3.37830478053153,0.000729341968247349,0.0667748348808691
"ZNF608",265.23554897836,-0.364531210922131,0.107925756515229,-3.37761089375078,0.000731184642820419,0.0667748348808691
"ZNF701",169.930061446203,-0.426381011059577,0.126071595603111,-3.38205453036286,0.000719458614435195,0.0667748348808691
"ZNF626",47.091671895819,-0.656786369656658,0.19462195592442,-3.37467767465925,0.000739021932152725,0.0671217679470516
"SLC6A8",1714.10239024811,0.716075985933359,0.212591580529565,3.36831771112297,0.000756283900084089,0.0679469983962035
